iter	Passed	Remaining
421	2644	3622
422	2652	3617
423	2658	3611
424	2666	3607
425	2674	3603
426	2681	3598
427	2684	3587
428	2692	3583
429	2700	3580
430	2703	3569
431	2710	3563
432	2718	3560
433	2726	3555
434	2733	3550
435	2742	3547
436	2749	3542
437	2756	3537
438	2757	3524
439	2765	3520
440	2771	3513
441	2778	3507
442	2785	3502
443	2792	3497
444	2800	3493
445	2808	3488
446	2816	3484
447	2823	3478
448	2830	3474
449	2840	3471
450	2848	3467
451	2856	3462
452	2863	3457
453	2870	3452
454	2879	3448
455	2886	3443
456	2893	3437
457	2900	3432
458	2908	3427
459	2916	3423
460	2923	3418
461	2931	3413
462	2938	3408
463	2945	3402
464	2950	3395
465	2958	3390
466	2959	3377
467	2967	3373
468	2974	3367
469	2981	3362
470	2989	3357
471	2996	3352
472	2997	3340
473	3006	3335
474	3013	3331
475	3021	3326
476	3023	3314
477	3030	3309
478	3037	3304
479	3045	3299
480	3051	3292
481	3059	3287
482	3066	3282
483	3073	3276
484	3081	3271
485	3089	3267
486	3096	3262
487	3103	3256
488	3111	3251
489	3118	3245
490	3125	3240
491	3132	3234
492	3138	3227
493	3146	3222
494	3151	3215
495	3158	3209
496	3166	3204
497	3173	3199
498	3181	3193
499	3188	3188
500	3195	3182
501	3203	3177
502	3207	3168
503	3214	3163
504	3222	3158
505	3228	3152
506	3236	3146
507	3245	3143
508	3253	3138
509	3261	3133
510	3268	3127
511	3276	3122
512	3283	3117
513	3290	3111
514	3298	3106
515	3305	3100
516	3313	3095
517	3321	3090
518	3329	3085
519	3337	3080
520	3345	3076
521	3347	3064
522	3354	3059
523	3361	3053
524	3372	3051
525	3377	3043
526	3385	3038
527	3389	3030
528	3395	3023
529	3403	3018
530	3408	3010
531	3414	3003
532	3421	2997
533	3428	2992
534	3436	2986
535	3443	2980
536	3450	2975
537	3458	2970
538	3466	2964
539	3469	2955
540	3476	2949
541	3483	2943
542	3490	2937
543	3498	2932
544	3505	2926
545	3512	2920
546	3520	2915
547	3522	2905
548	3530	2899
549	3538	2894
550	3545	2888
551	3552	2883
552	3559	2877
553	3567	2872
554	3575	2866
555	3583	2861
556	3590	2855
557	3597	2849
558	3605	2844
559	3614	2839
560	3622	2834
561	3628	2828
562	3636	2822
563	3643	2816
564	3650	2810
565	3658	2805
566	3665	2799
567	3670	2791
568	3677	2785
569	3684	2779
570	3691	2773
571	3699	2768
572	3706	2762
573	3713	2756
574	3721	2751
575	3725	2742
576	3732	2736
577	3740	2730
578	3747	2724
579	3755	2719
580	3763	2713
581	3770	2708
582	3778	2702
583	3786	2697
584	3794	2691
585	3801	2685
586	3808	2679
587	3817	2674
588	3824	2668
589	3832	2662
590	3840	2657
591	3847	2651
592	3855	2645
593	3863	2640
594	3870	2634
595	3878	2629
596	3886	2623
597	3893	2617
598	3901	2611
599	3908	2605
600	3915	2599
601	3923	2594
602	3931	2588
603	3939	2582
604	3947	2576
605	3954	2571
606	3962	2565
607	3970	2559
608	3977	2553
609	3984	2547
610	3991	2541
611	3999	2535
612	4007	2529
613	4015	2524
614	4023	2518
615	4030	2512
616	4039	2507
617	4046	2501
618	4054	2495
619	4060	2488
620	4067	2482
621	4075	2476
622	4082	2470
623	4088	2463
624	4095	2457
625	4103	2451
626	4110	2445
627	4119	2439
628	4126	2433
629	4134	2427
630	4141	2421
631	4149	2416
632	4155	2409
633	4162	2403
634	4169	2396
635	4177	2390
636	4184	2384
637	4190	2377
638	4198	2372
639	4206	2366
640	4214	2360
641	4222	2354
642	4229	2348
643	4236	2342
644	4244	2335
645	4251	2329
646	4259	2323
647	4266	2317
648	4273	2311
649	4280	2305
650	4288	2299
651	4294	2292
652	4302	2286
653	4310	2280
654	4318	2274
655	4323	2267
656	4330	2260
657	4338	2254
658	4344	2248
659	4352	2242
660	4359	2235
661	4368	2230
662	4379	2226
663	4392	2222
664	4402	2217
665	4410	2211
666	4420	2207
667	4429	2201
668	4436	2194
669	4443	2188
670	4451	2182
671	4458	2176
672	4465	2169
673	4473	2163
674	4481	2157
675	4489	2151
676	4497	2145
677	4506	2140
678	4514	2134
679	4523	2128
680	4530	2122
681	4538	2116
682	4546	2110
683	4554	2104
684	4561	2097
685	4568	2091
686	4575	2084
687	4582	2077
688	4590	2072
689	4598	2066
690	4605	2059
691	4612	2052
692	4619	2046
693	4626	2040
694	4633	2033
695	4641	2027
696	4647	2020
697	4653	2013
698	4657	2005
699	4664	1999
700	4671	1992
701	4678	1986
702	4686	1980
703	4695	1974
704	4703	1968
705	4710	1961
706	4718	1955
707	4725	1949
708	4733	1942
709	4741	1936
710	4749	1930
711	4756	1924
712	4764	1917
713	4770	1910
714	4778	1904
715	4786	1898
716	4794	1892
717	4802	1886
718	4810	1880
719	4817	1873
720	4825	1867
721	4833	1860
722	4840	1854
723	4848	1848
724	4855	1841
725	4862	1835
726	4871	1829
727	4878	1822
728	4886	1816
729	4894	1810
730	4902	1803
731	4909	1797
732	4917	1791
733	4925	1784
734	4932	1778
735	4939	1771
736	4947	1765
737	4955	1759
738	4962	1752
739	4969	1746
740	4977	1739
741	4984	1733
